pm1,device_id,co,humidity,co2,pm2_5,pm10,temperature,voc,timestamp
0,7,140,72.07,1706,5,5,30.19,748,2025-06-30 17:29:05
0,7,140,71.86,1708,2,2,30.18,746,2025-06-30 17:28:35
1,7,140,71.71,1706,4,5,30.13,743,2025-06-30 17:28:06
2,7,140,71.61,1707,4,5,30.11,738,2025-06-30 17:27:36
1,7,140,71.41,1706,5,5,30.08,736,2025-06-30 17:27:06
1,7,140,71.02,1702,4,6,30.07,733,2025-06-30 17:26:23
0,7,140,70.72,1704,4,4,30.03,733,2025-06-30 17:25:54
0,7,140,70.53,1705,3,4,30,729,2025-06-30 17:25:25
0,7,139,70.13,1698,4,4,29.97,724,2025-06-30 17:24:55
0,7,139,69.64,1691,3,3,29.95,723,2025-06-30 17:24:27
0,7,138,69.25,1689,4,5,29.91,722,2025-06-30 17:23:57
0,7,138,68.79,1690,2,3,29.89,720,2025-06-30 17:23:26
0,7,138,68.39,1695,4,4,29.86,717,2025-06-30 17:22:57
0,7,139,67.81,1699,3,3,29.82,713,2025-06-30 17:22:27
0,7,138,67.6,1705,4,6,29.81,710,2025-06-30 17:21:58
0,7,138,67.41,1705,2,2,29.76,710,2025-06-30 17:21:29
0,7,138,67.21,1708,3,3,29.73,708,2025-06-30 17:20:59
0,7,138,67.02,1708,2,2,29.7,706,2025-06-30 17:20:30
0,7,139,66.82,1709,4,4,29.65,705,2025-06-30 17:20:00
0,7,136,66.65,1709,4,4,29.63,704,2025-06-30 17:19:31
0,7,136,66.55,1712,3,3,29.61,703,2025-06-30 17:19:01
0,7,136,66.26,1713,2,3,29.57,699,2025-06-30 17:18:32
0,7,136,66.07,1713,2,3,29.53,699,2025-06-30 17:18:03
0,7,136,65.96,1711,5,5,29.48,699,2025-06-30 17:17:33
0,7,136,65.67,1718,2,2,29.44,695,2025-06-30 17:17:03
0,7,136,65.5,1718,3,3,29.38,695,2025-06-30 17:16:21
0,7,135,65.31,1718,2,2,29.34,694,2025-06-30 17:15:51
0,7,135,64.81,1720,1,1,29.28,693,2025-06-30 17:15:22
0,7,135,64.62,1725,1,2,29.22,693,2025-06-30 17:14:21
0,7,135,64.32,1729,2,2,29.17,689,2025-06-30 17:13:51
0,7,134,64.16,1732,0,0,29.11,689,2025-06-30 17:13:22
0,7,134,63.86,1739,1,1,29.07,688,2025-06-30 17:12:53
0,7,134,63.37,1744,0,2,28.98,687,2025-06-30 17:12:23
0,7,134,63.37,1744,0,2,28.98,687,2025-06-30 17:12:10
0,7,134,63.11,1746,1,1,28.91,681,2025-06-30 17:11:40
0,7,134,62.81,1750,0,1,28.85,682,2025-06-30 17:11:11
0,7,134,62.61,1750,1,1,28.77,688,2025-06-30 17:10:41
0,7,132,62.12,1728,0,2,28.73,682,2025-06-30 17:10:12
0,7,132,61.62,1720,2,2,28.69,681,2025-06-30 17:09:42
0,7,132,61.06,1720,1,1,28.61,682,2025-06-30 17:09:13
0,7,131,60.47,1719,0,0,28.57,682,2025-06-30 17:08:44
0,7,131,59.88,1720,0,0,28.5,679,2025-06-30 17:08:14
0,7,128,59.22,1719,1,2,28.42,681,2025-06-30 17:07:45
2,7,112,58.92,1722,4,4,28.32,674,2025-06-30 17:07:03
0,7,128,54.35,1745,0,0,28.45,664,2025-06-30 17:04:24
0,7,127,53.46,1799,0,0,28.5,651,2025-06-30 17:03:55
0,7,129,52.87,1764,0,0,28.57,646,2025-06-30 17:03:26
0,7,129,53.46,1788,0,2,28.6,652,2025-06-30 17:02:56
0,7,129,53.46,1830,0,0,28.61,653,2025-06-30 17:02:22
0,7,132,53.66,1713,0,0,28.67,655,2025-06-30 17:01:51
0,7,132,53.93,1709,0,1,28.69,660,2025-06-30 17:01:10
0,7,131,54.13,1714,0,0,28.72,666,2025-06-30 17:00:40
0,7,132,54.52,1719,0,0,28.72,669,2025-06-30 17:00:11
0,7,133,54.72,1711,0,0,28.72,670,2025-06-30 16:59:41
0,7,133,55.02,1793,1,1,28.74,678,2025-06-30 16:59:12
0,7,134,55.21,1770,0,0,28.74,680,2025-06-30 16:58:35
0,7,134,55.21,1796,1,1,28.76,682,2025-06-30 16:58:06
0,7,133,55.21,1784,0,0,28.74,684,2025-06-30 16:57:36
0,7,133,55.41,1783,0,0,28.77,687,2025-06-30 16:57:07
0,7,134,55.51,1756,0,0,28.79,687,2025-06-30 16:56:37
0,7,134,55.71,1750,0,0,28.8,689,2025-06-30 16:56:08
0,7,135,56.1,1727,0,1,28.83,693,2025-06-30 16:55:39
0,7,135,56.4,1723,0,0,28.85,703,2025-06-30 16:55:08
0,7,135,56.79,1702,0,0,28.87,706,2025-06-30 16:54:39
0,7,136,56.99,1687,0,0,28.89,707,2025-06-30 16:54:10
0,7,136,57.38,1656,0,0,28.89,709,2025-06-30 16:53:40
0,7,136,57.65,1630,0,0,28.92,713,2025-06-30 16:53:11
0,7,138,58.05,1614,0,0,28.95,719,2025-06-30 16:52:41
0,7,136,58.34,1614,1,1,28.97,722,2025-06-30 16:52:12
0,7,138,58.54,1625,1,1,28.97,729,2025-06-30 16:51:42
0,7,138,58.64,1622,0,1,28.98,732,2025-06-30 16:51:13
0,7,138,58.93,1646,0,0,28.98,737,2025-06-30 16:50:43
0,7,138,59.33,1620,1,1,28.97,740,2025-06-30 16:50:14
0,7,139,59.52,1694,0,3,28.97,747,2025-06-30 16:49:46
0,7,136,59.82,1638,0,1,28.98,746,2025-06-30 16:48:55
0,7,136,59.72,1563,1,1,28.98,737,2025-06-30 16:48:26
0,7,136,60.21,1645,2,2,28.98,750,2025-06-30 16:47:50
0,7,138,60.71,1622,0,0,28.98,751,2025-06-30 16:47:21
0,7,138,61.1,1669,2,2,28.98,753,2025-06-30 16:46:51
0,7,139,61.4,1654,1,2,28.98,758,2025-06-30 16:46:22
0,7,139,62.09,1658,1,2,28.98,767,2025-06-30 16:45:52
0,7,140,62.38,1664,0,1,28.98,770,2025-06-30 16:45:23
0,7,140,63.07,1644,2,2,28.97,774,2025-06-30 16:44:53
0,7,140,63.76,1641,2,2,28.94,780,2025-06-30 16:44:25
0,7,142,65.04,1542,2,2,28.94,788,2025-06-30 16:43:55
0,7,142,66.22,1649,1,1,28.94,802,2025-06-30 16:42:46
0,7,142,67.12,1647,2,3,28.92,807,2025-06-30 16:42:04
0,7,143,68.13,1631,2,2,28.89,809,2025-06-30 16:41:35
0,7,143,69.02,1590,3,3,28.87,825,2025-06-30 16:41:06
0,7,144,69.9,1549,3,3,28.85,826,2025-06-30 16:40:29
0,7,144,70.99,1532,3,3,28.82,839,2025-06-30 16:40:00
0,7,146,72.08,1585,2,2,28.77,841,2025-06-30 16:39:30
0,7,147,73.55,1573,3,3,28.72,849,2025-06-30 16:38:42
1,7,147,74.54,1531,5,6,28.69,859,2025-06-30 16:38:06
1,7,148,76.06,1516,4,4,28.64,862,2025-06-30 16:37:36
1,7,148,77.24,1521,4,7,28.58,873,2025-06-30 16:37:01
1,7,150,78.33,1579,3,3,28.52,878,2025-06-30 16:36:31
2,7,149,79.71,1525,5,5,28.48,885,2025-06-30 16:36:01
3,7,150,81.13,1565,7,9,28.42,905,2025-06-30 16:35:32
3,7,151,82.22,1556,6,7,28.35,913,2025-06-30 16:35:02
3,7,149,83.4,1601,11,12,28.26,937,2025-06-30 16:34:33
7,7,132,84.62,1496,11,13,28.13,928,2025-06-30 16:33:57
